rating,title,content,author,date,version,rating_label,review_len
1,青少年模式不能理解,大人，登录时自动启动的青少年模式，不理解不知道怎么想的。后来想青少年就青少年吧，结果发现搜索只能搜出来图片，一条视频都没有，之前发的视频也看不了，所有朋友全部无法聊天，看都看不到。推给我的也都是无脑，不能理解的视频。甚至连点赞，关注都不行，真的不能理解，控制时间就算了，还要控制我看什么，以前的记录也没了,所以呢。？,2026-07-18,9.38.1,差评,152
1,谜一样的审核机制,账号没有发布任何形式的违规内容却莫名遭到平台处罚！去问人工后证实我账号里的帖子和评论均没有问题，只有可能是私信里有涉及，但我的私信功能早就关闭了，这样反馈给客服后客服就开始说车轱辘话，有问有答但是不解决任何问题，于是只能走申诉，但显然申诉也是不给过，同样给不出具体理由。。才用这个app一年，没想到体验这么差！！！,什么我的昵称被用了,2026-07-18,9.38.1,差评,157
1,给一星，吐槽离谱的风控审核！,"本人账号从未发布任何笔记、瞬间、图文，零原创产出，日常只是刷帖、给他人评论正常点赞，没有发过激评论、没有私信引流、没有广告营销、没有互刷数据，全程合规浏览互动，毫无征兆直接封号。
找客服申诉只会复制官方套话，不提供任何判定违规的具体截图、时间、对应内容，完全不做人工复核。只是简单点赞互动就触发封号，普通用户正常使用毫无安全感，系统误判泛滥，申诉通道形同虚设，不推荐下载。",我虎岛和夫的交汇点,2026-07-18,9.38.1,差评,186
5,不知道,挺好的 推的没有一个是我不爱看的 作业硬是从6:00拖到了4:00,￼skg￼,2026-07-18,9.38.1,好评,33
5,景喻99,挺好的,茶泡饭幸福好不好,2026-07-18,9.38.1,好评,3
5,小绿书,像抖音但又有哆哆啰的账号,喜马拉雅叫我的,2026-07-18,9.38.1,好评,12
1,疑问,这是什么APP,安禄生 恠抖音发布了新祚品,2026-07-18,9.38.1,差评,7
1,一个把我和猫玩耍的视频推给恋足癖男人的平台,吸引来大量男性骚扰者 这就是你们的算法,大麒麟70,2026-07-18,9.38.1,差评,19
1,随便封号,避雷避雷避雷！什么平台啊动不动就封号，到底是不是人工审核的？一个实名认证只能绑定一个账号我能理解，但不实名就随机封号，理由特别千篇一律，问要具体哪条帖子、评论、私信违规了他们就说后台没法看，只能看到违规原因，客服跟人机一样没法解决问题，要求解封也是不给的，非要实名认证。实名认证不是自愿的吗？我记得其他平台都是只有直播、开店卖货才需要吧？单纯互动发帖要实名啥啊？小红书只会以封号为由要求你实名认证，要么你注销账号，要么实名，这啥霸王条款？既然不实名就有被封号的风险那就说明这个问题啊，耍我呢？找了仨客服都没解决😂找客服根本没有，全部一套话术复制粘贴发给你,一碗土豆泥🍏,2026-07-18,9.38.1,差评,277
1,多次申诉无用,多次申诉无用！,王者荣耀12727）我好,2026-07-18,9.38.1,差评,7
1,小红书乱封号,太恶心了,他就👀！,2026-07-18,9.38.1,差评,4
1,算个什么东西,胡乱禁言封号，这种app算个什么东西，辣鸡,小屁书,2026-07-18,9.38.1,差评,21
5,好,特别好,同志🫡🫡,2026-07-18,9.38.1,好评,3
1,平台能不能不要偏袒无脑商家？,明明是质量问题，无良商家态度极其强硬，是买家的错，错了平台处理偏袒商家,讨厌小红书恶心,2026-07-18,9.38.1,差评,35
5,拉完了,不太好，有些人素质太差,想干嘛我去看看有没有什么问题吧唧唧复唧唧,2026-07-18,9.38.1,好评,11
1,莫名其妙给人禁言,什么都没有做，上来一张违规通知，通知里面什么都没写清楚，就说你违规，真是霸王啊，你说我违规好歹给个证据吧，什么都不给就说你违规，真是逆天app，谁用谁知道呢🥰,qoorkrk,2026-07-18,9.38.1,差评,79
1,不要乱封账号,"这种问题我已经遇到过好多次了，有的小孩骂人，结果反手禁言了？
还有有的人发出一些过激言论上前问一下，被警告了？
我发了个oc，没有写任何言论。为什么警告我了？再这样下去没人用小红书",有一语双关,2026-07-18,9.38.1,差评,90
5,小红书简直就是神,风气最好的社交平台😭,悠莹o,2026-07-18,9.38.1,好评,10
2,雷霆审核机制,我是小红书老用户了，我对小红书的审核机制特别失望！我明明啥也没干，就给我重置了我的昵称壁纸，不让我关注发评论发笔记，审核员是瞎子吗？！天天净搁那儿乱审核！！！！！！！！！,弑血鬼冢,2026-07-18,9.38.1,差评,85
5,风格,看起来很舒适，用了这么多软件这个最上手，评论区里等等氛围都很好，没有不良内容，不乱！,蔷薇少女rose,2026-07-18,9.38.1,好评,42
1,小红书老是乱封号,我以前在小红书上就有一个号，我发的也是正常视频，无擦边无不良影响，但就是帮我封禁了，还说我擦边，可我发的就是一些普通搬运工视频,无所谓啦吗,2026-07-18,9.38.1,差评,63
1,无辜封号,垃圾软件,小红书垃圾不充钱就封号,2026-07-18,9.38.1,差评,4
3,毒鸡汤，极端女权，男女对立的摇篮,希望小红书官方审核要严格一点，对社会不良风气要进行打击！,THK 扶摇直上九万里,2026-07-18,9.38.1,中评,28
1,你好,非大陆居民不让直播 都是中国人到底有什么区别。感到很寒心,atlpbbb羚羊,2026-07-18,9.38.1,差评,28
1,新版本不要已售罄查看同款,这种已售罄查看同款，很影响购物体验，小红书很多都是抢购，还我已售罄加入心愿单！！！！！,还我加入心愿单,2026-07-18,9.38.1,差评,43
5,😀热度好,嘻嘻,快手泪目,2026-07-18,9.38.1,好评,2
1,无故封账号,无缘无故突然封禁账号,lotuskiku,2026-07-18,9.38.1,差评,10
1,包庇侮辱炎黄子孙的人,投诉此账号也没人管,qhehbfnfjskdijsnc,2026-07-18,9.38.1,差评,9
1,大糖书,大糖书,椿湫海,2026-07-18,9.38.1,差评,3
1,shazi小红书,老推荐一些跳舞女的，就喜欢破坏人家家庭是吧,bauhxbxvhzjabduxuen,2026-07-18,9.38.1,差评,21
5,小红书很好,小红书是一个学习和娱乐的好地方。,与物觅古,2026-07-18,9.38.1,好评,16
5,无,只是因为家产太美味了，所以才给你打五颗星的,Foker _____,2026-07-17,9.38.1,好评,21
1,小红书规则不合理,我是小红书的忠实粉丝，但是近期新买了一个二手苹果手机下载小红书说设备异常，我电话问了你们小红书客服，说原来用户可能违规，我说他违规是他的号违规，和我的号什么关系，现在把设备封禁，了我提供资料证明也无用，没有申诉渠道可以解封这个设备！差评,大宝贝您姐,2026-07-17,9.38.1,差评,118
1,动不动就说我违规,直接不看了  我真服了   发个写字的照片就封号   卸载了,-啰嗦,2026-07-17,9.38.1,差评,30
3,垃圾软件,快倒闭吧 好评都是刷的?,呃呃呃啊啊啊啊啊啊啊,2026-07-17,9.38.1,中评,12
1,希望小红书早日下架,垃圾中的垃圾，简直一颗星都不想给，别人开口就骂人，说人是卖的，不封她的账号，然后封禁我的功能，就活该被人骂呗，还是你们家里人都是干这个的啊，这都举报不成功，莫名其妙封我账号干啥,小蕊.🕊,2026-07-17,9.38.1,差评,88
1,操纵舆论,默许水军洗地。只要甲方有钱雇佣水军就可以在这个平台为所欲为，控制舆论导向。审核机制是只要有人投诉立刻给你隐藏帖子，不告诉你哪里的问题一直限制。没骂人没发任何违规的东西，只要水军不允许，你就别想发。请问言论自由在哪里？,匿名ddddddddxx,2026-07-17,9.38.1,差评,108
5,拳湿集中营,家人们谁懂啊～,网络连接失败什么情况,2026-07-17,9.38.1,好评,7
1,一手遮天的平台,没见过哪个平台这么爱乱封号，人工申诉全是ai机器人，趾高气昂给谁看呢，被人举报上不了市受着吧，人生一个支线任务就是等你倒闭,就当我从未玩过,2026-07-17,9.38.1,差评,61
5,？,巨容易卡死,kavtak,2026-07-17,9.38.1,好评,5
1,烂的要死,别人发的恶意评论是可以存在的，截个图发笔记就叫传播不友善了，去TB的，你以为你的平台环境好是你的功劳啊，全是用户忍着你罢了，只盯发帖人是吧，评论好坏完全不管，同样的评论截个图就给我叛逆违规,小红薯逆蝶,2026-07-17,9.38.1,差评,94
1,我号咋被冻了,我干啥了刚注册不到两三天发了几张画评论了几句咋就被冻了 我也没发啥不过审的啊,小啦啦啦啦啦啦的,2026-07-17,9.38.1,差评,38
1,神人刷新点,"里面一堆神人这个软件的神人和暗网程度不亚于快手抖音看这个的没见过几个正常人里面的全部人员特征：1.素质低下2.神人思路3.官方的封号机制4.长相这一块
神人软件神人官方神人用户",hey？咕咕嘎嘎！,2026-07-17,9.38.1,差评,88
1,烂,发正常的能违规 其他逆天言论不违规 什么神人应用,urruh,2026-07-17,9.38.1,差评,24
5,建议单篇笔记可以增加评论关闭和开放,哈喽，尊敬的开发人员，我每天都在平台上发笔记，希望可以拥有评论控制功能：仅自己/互相关注的/仅粉丝评论的 ，我是iOS系统，8plus、16pro max机型的,安妮妮的摄影,2026-07-17,9.38.1,好评,80
1,乱封号,非常垃圾，我我我都懵，我几天前发的帖子后来删掉了，我发个属性图到底咋了，结果今天给我号封了说我违规，我帖子几天前都删了现在才给我判定，我都服了呀坤美，打开发现是我之前删除的帖子我真没绷住,我是伯贤控,2026-07-17,9.38.1,差评,93
5,啊啊啊,这5颗星是给洪烧打的！！！🥰,最爱洪烧姐姐了！！！,2026-07-17,9.38.1,好评,14
1,女厕所,集美聚集地，臭不可闻,浅月悠悠,2026-07-17,9.38.1,差评,10
1,不要使用小红书会变得不幸,"无缘无故封号毫无提示就处罚是小红书的特色
欢迎大家来使用可颂一个新的替代小红书的平台 别再让它一家独大嚣张的不行",屁屁叽pipi,2026-07-17,9.38.1,差评,56
1,发布视频被限制流量,由于我活跃发布视频（自创搞笑视频）但是不知道什么原因被限流了后期我又问了平台客服客服说已经解除处罚了但是没有效果还是在限流,叫英语,2026-07-17,9.38.1,差评,61
1,法外狂徒,给网警的账号都干封了你小红书挺牛逼啊,CH·弑神,2026-07-17,9.38.1,差评,18
1,一堆代喝代买三观不正的app,😂腊祭app央视通报批评的诈骗一半以上是小红书，三观不正，带坏社会风气！关门大吉,尕齑,2026-07-17,9.38.1,差评,40
1,能不能不要乱审核,我发了一个文章，没有一点不合规的地方，结果你直接就给我拒绝了，不让我发，别人还等着看呢，反倒是别的文章，不合规的一大堆，你就给通过了，你什么意思啊,拒绝乱审核,2026-07-17,9.38.1,差评,73
1,垃圾小红书,垃圾小红书，良心被狗吃了，钱比良心更重要，你是真牛逼，人家为了你的后一代在前线拼命争取光明，你在后面捅刀子，希望你门没有后代，你们后代不配,垃圾电工宝典,2026-07-17,9.38.1,差评,69
1,垃圾,垃圾软件,？f f g,2026-07-17,9.38.1,差评,4
1,封号乱封,封号一点解决办法都没有，客服跟没有没什么区别，乱封号，神轻病小红书，死活复核不了,320ch,2026-07-17,9.38.1,差评,40
1,广告太多！,想搜一个东西，百分之80是广告！！！有没有活人了,小红书广告太多,2026-07-17,9.38.1,差评,24
1,无缘无故封禁账号，保留信息,无缘无故封禁账号何意味，无缘无故被退出登陆何意味，都被你们逼的注销了还保留实名信息这又是何意味,美猴王大战猪猪侠,2026-07-17,9.38.1,差评,47
5,比较真儿,好👍👍,哦啦啦7筒佛祖77群,2026-07-17,9.38.1,好评,3
1,无故封号,正常和法和规使用，结果被封禁了，找客服也没用，我哪有那么多身份证号给你验证？衮,sjhxhs;jdndj,2026-07-17,9.38.1,差评,39
1,씨발,神经病封了账号解绑不了手机号,cgcjdfi,2026-07-17,9.38.1,差评,14
1,能不能不要乱封号,那么多骗子号不管 整天莫名其妙封一些无关账号 何意味,小红书能不能别乱封号,2026-07-17,9.38.1,差评,26
1,无缘无故的封号,差评 如果有问题可以指出来，不给解释就是封号 ，发生了什么都不给解释，只知道封号,为什么我马上,2026-07-17,9.38.1,差评,40
4,希望有更多功能,小红书已经很好了但是1⃣️希望能有打视频通话和特效的功能不然有时候用🍠聊天时想看对方却看不了2⃣️有特效是方便我们拍视频有特效也可以在打视频通话时用特效之类的，所以希望官方能加一下这两点,^2uou_,2026-07-17,9.38.1,好评,93
1,单纯不喜欢,差评,eshat_CN,2026-07-17,9.38.1,差评,2
1,小红书一星守护,太sb的软件太sb的创始人了，舍不得被别人发现这么sb的软件,我是小红书daddy,2026-07-17,9.38.1,差评,30
1,垃圾软件五星都是买的机器人刷的,吃黑流量最厉害的平台，比微博还离谱,操爹的好,2026-07-17,9.38.1,差评,17
1,垃圾 各种广告,没用的app,ahsjbsvywhdb,2026-07-17,9.38.1,差评,6
1,拉垮,广告营销，无脑视频，极度闹耳朵的背景bgm，一大堆艾特人的无用评论区，屏蔽一大堆真实的评价，越来越像🫘，简直一模一样，不是每个人都看世界杯的，屏蔽了关键词还有，你是体育频道吗？,lynne🦋,2026-07-17,9.38.1,差评,88
3,小红书真的很好,很完美啊，可以交友。麻烦审查宽一点，梦女和磕粉真的会疯掉啊,Good red book,2026-07-17,9.38.1,中评,29
1,垃圾app,莫名其妙就限制我 说我交易有问题 我根本没有它说的那些问题 真的很无语 直接删除app,wcnmsmmzdy,2026-07-17,9.38.1,差评,43
4,iPad为什么在评论区发不了表情包？,为什么iPad只能在私信或者群聊里发表情包，在评论区发不了？真的很不方便，希望小红书官方能改进一下,无今夏,2026-07-17,9.38.1,好评,49
1,世界杯,饭圈文化太严重，不懂球的疯狂蹭流量,soneh6,2026-07-17,9.38.1,差评,17
5,太棒了,真的很好看，球赛超清晰,怎么会这样202222,2026-07-17,9.38.1,好评,11
1,莫名其妙封号,太好用了，啥也没干就给我永久封号了，申诉永远失败，注销了，卸载了，拜拜，垃圾软件,hywpoqxypwpwpw,2026-07-17,9.38.1,差评,40
5,感谢小红书为我们这些某生活的人提供了一个平台,小红书真的很全面，特别好，给我们的热爱给了好多支持，谢谢你们。,161674,2026-07-17,9.38.1,好评,31
1,小红书这样的乱封号的迟早流失用户,我不知道你们是怎么样个团队，我不知道你们是怎么样的一个管理结构构成你们整个封号乱封号审核机制，不知道是怎么样的，总是非常糟糕的！任何社交媒体，任何的社交平台都没有像你们小红书这样乱搞，说实话，小红书到现在也就几年时间迟早会被取代！！！用户体验非常糟糕，乱封号，然后我找客服客服的理解能力非常糟糕，不给解除，不好意思，这个软件我不再使用,jzjdnsns,2026-07-17,9.38.1,差评,167
1,最恶心的软件，没有之一！,最恶心的软件设计，到处（发帖、评论、私聊）充实着因信息不对称，私自被软件 Shadowban 的情况！一点都不光明正大的给信息提示！,咬着糖糖拽天下,2026-07-17,9.38.1,差评,66
5,很好用,非常好用  想知道的可以搜  还可以买东西  能看世界杯  还可以养AI宠物  已经想不到有什么小红书做不到了,不知道叫什么名字了     啊啊啊啊,2026-07-17,9.38.1,好评,55
1,用了小红书 天天遭受网暴,小红书 天天被举报 天天被网暴 动不动就避雷。学学抖音。,纳纳拿娜,2026-07-17,9.38.1,差评,28
1,一分都不想给😂,只会封号😂😂😂招笑软件,wozhendefulea为什么这么,2026-07-17,9.38.1,差评,11
1,Ipo之前先把核心团队给违法开除,Ipo之前先把核心团队给违法开除，被陈浩在香港证监会给举报了，笑死,菠萝吹梦,2026-07-17,9.38.1,差评,33
1,为什么一直显示没网用不了,一直点不开而且开流量也没有用 到底是怎么回事,偷亲赵云99次,2026-07-17,9.38.1,差评,22
1,陈浩这事儿咋解决啊,陈浩这事儿咋解决啊,最暖老公,2026-07-17,9.38.1,差评,9
1,。,敢再给我推利用我愤怒博取关注的视频，我就永远卸载你。,摸鱼的蛋挞你那边,2026-07-17,9.38.1,差评,26
1,偷偷限流你们就这样吧,😂😂😂,雪莉露·诺姆,2026-07-17,9.38.1,差评,3
1,无故封号 封新注册两天的号,无故封号 封新注册两天的号,Q727777,2026-07-17,9.38.1,差评,13
1,我了小仙女😂,78787,训到傻下傻下,2026-07-17,9.38.1,差评,5
5,花生咪,真的太好看了，喜欢的都在里面😆😍,啦啦啦啦老公康,2026-07-17,9.38.1,好评,16
1,换设备登录过程繁琐麻烦,换设备登录非常麻烦，垃圾，很难用,柯忠豪,2026-07-17,9.38.1,差评,16
1,能不能不要随便封号,我不知道这个软件你到底是咋了？第一个号我承认确实是我错了我发太多评论了，但是直接永久封禁有必要吗？恶心死了，好不容易开一个新号结果只是关注几个人发几个评论点赞几个视频又给我封了什么意思？你们找的到底是什么人？我用我10年寿命担保我在我的新号从来没有任何违规行为，头像背景图简介名字都是很正常的，我想请问呢你们是施暴者是吧，看见别人不爽就封号，我第一个号的注销冷静期还在。还不能实名认证，要是实名认证完还不行我跟你斗到底，这事就没完了😂😂😂,pkclis,2026-07-17,9.38.1,差评,219
1,乐子软件,搞一些有的没的,新巴巴巴鲁比,2026-07-17,9.38.1,差评,7
1,不要莫名其妙给我账号判违规好吗 谢谢,我不知道为什么小红书莫名其妙给我账号违规 我平常就看个视频啥的 评论点赞都特别特别少 不知道为什么要给我个违规 你们说的那种行为我根本就没有干过 嗯对 小红书你继续吧😂😂😂,czwhx,2026-07-17,9.38.1,差评,86
1,有病,我号呢😂,阳光下的小面包,2026-07-17,9.38.1,差评,4
1,能不能出屏蔽词功能啊,老是刷到不喜欢的视频一直按不感兴趣也没用别老是推了行不行,偶偶重度依赖,2026-07-17,9.38.1,差评,28
1,女拳基地,全是小仙女，给不了0分，差评,集师,2026-07-17,9.38.1,差评,14
1,牛逼了我去,不是说13岁以上就能用吗？为什么开了未成年人模式说14岁以后才能退出未成年人模式？？？还有这个软件先不用强制登录的，登录前看的内容都十分新颖有趣，可是用了我另一个号来登，登录后，就是我另一个号看过那些老套的东西了！！！开了未成年人模式之后作品作者也点不进去了，所以说小红书你们是怎么搞的！！！,好烦啊，怎么什么昵称都被人用了？,2026-07-17,9.38.1,差评,146
1,滚,这平台是有病吗擦边色情的不封 封我一个啥也没漏跳跳舞的 还说我传播什么不良影响 有病吗 神经病软件,lulu_dan,2026-07-17,9.38.1,差评,49
1,乱审核,"我真的破防了。

我不是博主，不接广告不引流，就是个普普通通喜欢刷小红书的人。几年了，看到有用的健身教程、宝藏旅游攻略、情绪低落时能救命的心理笔记，全被我仔仔细细分门别类收藏好。那个收藏夹就是我的赛博图书馆，是我一点点搭建起来的精神角落。

结果呢？某天早上醒来，号没了。

原因？一句“违反社区规则”，没了。什么时候犯的？不知道。证据？没有。我连辩驳的机会都没有，因为申诉按钮点进去就是3个工作日后再解决。

更让我崩溃的是，那个被我“调教”了几年的首页推荐，那个比我自己还懂我喜欢什么的大数据，一夜之间归零。你知道养一个号有多难吗？我点了多少“不感兴趣”、搜了多少关键词、划走了多少讨厌的内容，才换来一个打开就想刷一整天的首页。现在好了，一切回到解放前，推送全是我不爱看的，跟换个app似的。

收藏夹没了，算法没了，我三年的网络痕迹说清空就清空。可我做错了什么？我一个只看不发的用户，连犯错的机会都没有吧？

最可笑的是，那些天天引流的广告号活得好好的，我这种默默收藏的“沉默大多数”反而被误伤。合着老实人就活该被一键清零？

@小红书 你们知道普通用户的收藏夹意味着什么吗？那不是冷冰冰的数据，那是我们花时间一点点筛选出来的生活指南。你轻飘飘点一下“封禁”，我几年的积累就全没了。哪怕你给我一个导出收藏夹的机会，哪怕你告诉我具体哪条收藏违规了，我都能接受。

但现在这样，一句话判死刑，申诉无门，连个活人都找不到。

我不是博主，我没有粉丝可以喊冤，我只是一个想好好用这个app的普通人。但你们让我觉得，我在这个平台上的所有积累，都只是一串随时可以被删除的代码。

普通用户的命，也是命。",Ae888666666667,2026-07-17,9.38.1,差评,698
