date,rating,version,content,,,分类,数量,占比,,,
2026/7/14,1,9.38,"特别糟糕一直封杀女性主义博主，	
一开始明明是女性友好软件，靠卖货起家赚到钱了不认人了。",审核误判,,,,,,,
2026/7/18,1,9.38.1,什么叫包装人设呀？包装不符合我的人设，我什么人设你就说我是不符合我的人设，能不能不要乱审核呀？我真服了，就正常分享日常，怎么就是我包装人设了？怎么就是学历？怎么就是工作形象不符了？,审核误判,,,,,,,
2026/7/16,1,9.38.1,一颗星都不想给，和男友聊到他妈妈肺癌，被判违规，被禁言！申诉失败，问人工客服哪句话违规了，词语违规了？不好意思，系统检测违规,审核误判 + 客服无响应,,,,,,,
2026/7/13,1,9.38,糟糕的要死，乱封号还没办法申诉，客服全都是模板，去哪里都没办法解封，糟糕的要死,账号封禁 + 客服无响应,,,,,,,
2026/7/13,2,9.38,什么莫名其妙的推荐啊？什么莫名其妙的审核啊？性骚扰未成年的被封号结果一过实名认证就能解封？什么处罚都没有？那封号的意义是什么啊？就不能搞个一定时间内不能私信他人，在别人那里有提示吗？还有一堆性压抑对女生开黄腔，这些你都要视而不见吗？还有那个搜索我真的不想说什么了，能不能不要因为我平时爱刷这个我搜索也给我推。我去搜个火影给我推一堆咒术回战绘画作品是怎么回事？我真的受不了一点，几年前我搜手抄报也给我推一堆动漫。我希望你们能整改这些。,算法推荐差 + 审核误判,,,,,,,
2026/7/13,1,9.38,明明没有违规直接给我永久封号 而且申诉也没用 真的很无语很无语,账号封禁,,,,,,,
2026/7/18,1,9.38.1,不是我才注册了几天就给我封了，现在下回来还是封着的，我啥也没发啊？我也啥也没干啊？怎么莫名其妙给我封号了！就没遇见过这么会封的，xhs你继续,账号封禁,,,,,,,
2026/7/17,1,9.38.1,垃圾小红书，良心被狗吃了，钱比良心更重要，你是真牛逼，人家为了你的后一代在前线拼命争取光明，你在后面捅刀子，希望你门没有后代，你们后代不配,其他,,,,,,,
2026/7/15,1,9.38.1,搁这刷好评你也不能上市啊,其他,,,,,,,
2026/7/18,1,9.38.1,这平台迟早完蛋,其他（无实质内容）,,,,,,,
2026/7/12,1,9.38,乐色,其他（无实质内容）,,,,,,,
2026/7/16,1,9.38.1,一直封我，就问个价也封我,账号封禁,,,,,,,
2026/7/16,1,9.38.1,说实话 别的平台都没有这种神人的容纳之地 而小红书给了它们一个机会 尽情的宣泄自己的口头女性力量和看不起男性 看我看乐了,内容同质化,,,,,,,
2026/7/18,1,9.38.1,这是什么APP,其他（无实质内容）,,,,,,,
2026/7/18,1,9.38.1,一般。,其他（无实质内容）,,,,,,,
2026/7/15,1,9.38.1,别人随便骂没事，我发个什么就违规,审核误判（双标）,,,,,,,
2026/7/17,1,9.38.1,Ipo之前先把核心团队给违法开除，被陈浩在香港证监会给举报了，笑死,其他,,,,,,,
2026/7/17,1,9.38.1,我不知道你们是怎么样个团队，我不知道你们是怎么样的一个管理结构构成你们整个封号乱封号审核机制，不知道是怎么样的，总是非常糟糕的！任何社交媒体，任何的社交平台都没有像你们小红书这样乱搞，说实话，小红书到现在也就几年时间迟早会被取代！！！用户体验非常糟糕，乱封号，然后我找客服客服的理解能力非常糟糕，不给解除，不好意思，这个软件我不再使用,账号封禁 + 客服无响应,,,,,,,
2026/7/15,1,9.38.1,"小红书推荐算法确实好，说东北坏话的就会推到东北ip，这无可厚非。
但是南方ip发言可以截图可以不打码，点赞几千
我发回复截图就变成了敏感信息。
注意我只是截图了对方发言。
小红书终究会被反噬的，只会成为下一个豆瓣下一个知乎。",算法推荐差 + 审核误判,,,,,,,
2026/7/18,2,9.38.1,666,其他（无实质内容）,,,,,,,
2026/7/13,1,9.38,小红书给你搞禁言，真的不要去弄，真的真的不要弄真的，我今天就被禁言了好几天，而且我并且也不知道什么原因，我就被举报成这个样子了我，并且这几天我连说都没说大家一定不要下载小红书,账号封禁,,,,,,,
2026/7/14,1,9.38,特别糟糕一直封杀女性主义博主，一开始明明是女性友好软件，靠卖货起家赚到钱了不认人了。,审核误判,,,,,,,
2026/7/12,1,9.38,如题，我想改个简介朦胧，结果说违规社区规范，哪天规范说不能改这两个字了？有毛病啊,审核误判,,,,,,,
2026/7/15,1,9.38.1,我给我朋友的号发一个购买链接，就给我把号封了，让我必须实名，然后我的实名信息申请，他又说我的实名信息绑定了一个注销的账号，但是我要找这个身份信息又找不到账号，我就问他能不能告诉我是什么原因导致我那个账号是有问题然后注销了的他们也都不知道是什么情况，反正就是说解决不了变得越来越难用了，而且一直还在更新，我记得当年钱包都是可以抵扣的，现在也不让抵扣了快点出个竞品吧，不想用这个软件了,账号封禁 + 客服无响应,,,,,,,
2026/7/18,1,9.38.1,大糖书,其他（无实质内容）,,,,,,,
2026/7/18,1,9.38.1,整个平台充斥着莫名其妙的戾气很重的评论，很多帖子都是降智的发言，三观导向很不正的一个平台，不过这公司的高管本身人品就差，还能指望能管理出啥正常公司,内容同质化 + 其他,,,,,,,
2026/7/18,1,9.38.1,明明是质量问题，无良商家态度极其强硬，是买家的错，错了平台处理偏袒商家,其他,,,,,,,
2026/7/14,1,9.38.1,所有视频没有一个不带广告和引导的 举报也是没有任何作用,广告太多,,,,,,,
